,UWI,Eclipse_name,MLT name,Oil,Gas,Water
0,NO 16/2-D-10 T3,D-10_T3,,2226764.0,103838912.0,1734.1639404296875
1,NO 16/2-D-11 T2,D-11_T2,,2358940.75,103110864.0,1819.5709228515625
2,NO 16/2-D-12,D-12,,2410368.5,105686760.0,2426.579833984375
3,NO 16/2-D-13,D-13,,2188872.25,97583640.0,2098.294677734375
4,NO 16/2-D-14,D-14,,2442702.5,111082368.0,2501.672607421875
5,NO 16/2-D-15,D-15,,2016743.25,91261288.0,1710.33447265625
6,NO 16/2-D-16 T2,D-16_T2,,2246114.25,97749448.0,2166.72607421875
7,NO 16/2-D-18,D-18,,1387047.875,59806492.0,1269.2838134765625
8,NO 16/2-D-20 T2,D-20_T2,,649558.0625,27312746.0,492.664306640625
9,NO 16/2-D-6,D-6,,1005124.125,46552528.0,849.2730712890625
10,NO 16/2-D-9,D-9,,2330321.5,111580200.0,1504.4793701171875
