WB_UWBI,GOV_WB_NAME,WELL_UWI,PROD_DAY,WB_OIL_VOL_SM3,WB_GAS_VOL_SM3,WB_WATER_VOL_M3,GOV_FIELD_NAME
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-19T00:00:00,0.0,0.0,0.0,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-20T00:00:00,0.0075,0.4343,0.0,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-21T00:00:00,0.0,0.0,0.0,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-22T00:00:00,1036.14836,39687.90358,0.40962,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-23T00:00:00,2662.28177,107320.74555,0.99236,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-24T00:00:00,4453.08726,170515.7388,1.62177,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-25T00:00:00,6046.53097,235290.36924,2.20926,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-26T00:00:00,5276.84843,206583.41736,1.92167,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-27T00:00:00,5600.36632,220402.7181,2.04433,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-28T00:00:00,5970.94284,237110.38452,2.20136,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-29T00:00:00,6087.52372,243443.38848,2.23803,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-30T00:00:00,6099.15533,186473.55133,2.26657,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-07-31T00:00:00,6502.30161,340375.26985,2.45186,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-08-01T00:00:00,6694.60359,254022.94371,2.6412,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-08-02T00:00:00,6166.20713,248165.41477,2.47202,JOHAN SVERDRUP
NO 16/2-D-1,16/2-D-1,NO 16/2-D-1,2023-08-03T00:00:00,6135.77545,273342.88524,2.46609,JOHAN SVERDRUP
