,iteration,realization,is_observation,is_prediction,name,tagname,attribute,calculation,offset,domain,time0,time1,relative_path
0,iter-0,realization-23,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-23/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
1,,,True,False,seismic,amplitude_depth,amplitude,,,depth,2019-07-01,2020-07-01,share/observations/seismic/seismic--amplitude_depth--20200701_20190701.segy
2,iter-0,realization-72,False,True,seismic,amplitude_near_time,amplitude,mean,near,time,2018-01-01,,realization-72/iter-0/share/results/seismic/seismic--amplitude_near_time--20180101.segy
3,iter-0,realization-28,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-28/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
4,iter-0,realization-25,False,True,seismic,amplitude_near_2x_time,amplitude2,mean,near,time,2018-01-01,,realization-25/iter-0/share/results/seismic/seismic--amplitude_near_2x_time--20180101.segy
5,iter-0,realization-25,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2020-07-01,realization-25/iter-0/share/results/seismic/seismic--amplitude_depth--20200701_20180101.segy
6,iter-0,realization-35,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2018-07-01,realization-35/iter-0/share/results/seismic/seismic--relai_depth--20180701_20180101.segy
7,iter-0,realization-33,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-33/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
8,iter-0,realization-25,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-25/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
9,iter-0,realization-33,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2019-07-01,realization-33/iter-0/share/results/seismic/seismic--relai_depth--20190701_20180101.segy
10,iter-0,realization-35,False,True,seismic,amplitude_far_2x_depth,amplitude2,,far,time,2018-01-01,,realization-35/iter-0/share/results/seismic/seismic--amplitude_far_2x_depth--20180101.segy
11,iter-0,realization-75,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2018-07-01,realization-75/iter-0/share/results/seismic/seismic--amplitude_depth--20180701_20180101.segy
12,iter-0,realization-33,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-33/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
13,iter-0,realization-27,False,True,seismic,amplitude_near_time,amplitude,mean,near,time,2018-01-01,,realization-27/iter-0/share/results/seismic/seismic--amplitude_near_time--20180101.segy
14,iter-0,realization-35,False,True,seismic,amplitude_far_depth,amplitude,,far,time,2018-01-01,,realization-35/iter-0/share/results/seismic/seismic--amplitude_far_depth--20180101.segy
15,iter-0,realization-27,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-27/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
16,iter-0,realization-45,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2018-07-01,realization-45/iter-0/share/results/seismic/seismic--amplitude_depth--20180701_20180101.segy
17,iter-0,realization-45,False,True,seismic,amplitude_far_2x_depth,amplitude2,,far,time,2018-01-01,,realization-45/iter-0/share/results/seismic/seismic--amplitude_far_2x_depth--20180101.segy
18,iter-0,realization-80,False,True,seismic,amplitude_near_2x_time,amplitude2,mean,near,time,2018-01-01,,realization-80/iter-0/share/results/seismic/seismic--amplitude_near_2x_time--20180101.segy
19,iter-0,realization-80,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-80/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
