,name,attribute,time.t1,time.t2,seismic,coverage,dataset_id,map_type
0,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2021-05-17,Amplitude,Full,npequinor-dev:dataset--File.Generic:755cef74-30bb-480a-a2b9-e8996e642cbd,observed
1,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Timestrain,Masked,npequinor-dev:dataset--File.Generic:0cbbd332-7f77-4c86-a96f-92016fbafe6e,observed
2,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:778f3b5b-7989-4faf-80ac-3c967d1c6f1f,observed
3,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,Timestrain,Padded,npequinor-dev:dataset--File.Generic:7e7a12a6-c064-49d4-9fae-265e49fad3e0,observed
4,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,RelativeAcousticImpedance,Padded,npequinor-dev:dataset--File.Generic:f8f0e7e1-5858-40b2-8885-af717fab96a1,observed
5,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,RelativeAcousticImpedance,Masked,npequinor-dev:dataset--File.Generic:31dc4d40-aeb0-4aec-8a1f-c0949f71e736,observed
6,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2022-05-15,Timestrain,Full,npequinor-dev:dataset--File.Generic:08c2b9d3-e8f6-41e0-b4b1-ceb6b29857b0,observed
7,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:1a36a71e-027d-4cf5-b081-f02fc0bbaa23,observed
8,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:d61cc92f-ea89-4a08-b9b7-63934d161b37,observed
9,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2021-05-17,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:6e82244f-02fb-47ac-afef-b82e3550f0bb,observed
10,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,Amplitude,Padded,npequinor-dev:dataset--File.Generic:b84788b3-610a-4981-80f8-169271b9f5d0,observed
11,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,Amplitude,Masked,npequinor-dev:dataset--File.Generic:65593620-78cc-4949-a978-3a66ad528220,observed
12,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2021-05-17,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:9b0f6354-a3c9-4006-a3a4-e1fbac82ebfe,observed
13,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,Amplitude,Padded,npequinor-dev:dataset--File.Generic:002022ac-ba6b-422a-b035-207e011324ce,observed
14,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2021-05-17,Amplitude,Full,npequinor-dev:dataset--File.Generic:0a26a099-067f-427a-98cc-f81fce83e73f,observed
15,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Quadrature,Padded,npequinor-dev:dataset--File.Generic:c8ae396c-fba1-4a17-bf72-24a7147e33d1,observed
16,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:fa4a21c9-05a1-4205-81c1-0e5df87c5a57,observed
17,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2021-05-17,2022-05-15,Amplitude,Full,npequinor-dev:dataset--File.Generic:f88f4740-4075-438e-92f8-181ed5042765,observed
18,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,RelativeAcousticImpedance,Padded,npequinor-dev:dataset--File.Generic:8d2524cd-fba3-441a-872c-1e5a88153705,observed
19,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,Quadrature,Masked,npequinor-dev:dataset--File.Generic:8ed462eb-427a-4b49-b7b2-2d2ed59b781b,observed
20,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-09-20,Amplitude,Padded,npequinor-dev:dataset--File.Generic:e974dcb0-2737-4ef2-9c81-08217371742a,observed
21,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Quadrature,Masked,npequinor-dev:dataset--File.Generic:e11a06f8-49f3-425e-9fcc-7f9c5c84ede4,observed
22,3D_IUTU_JS_Z22_Merge_EQ20231_PH2DG3,value,2020-09-30,2023-09-20,Timeshift,Full,npequinor-dev:dataset--File.Generic:08f181b3-21b0-4c36-9fca-9ab020fbb4b4,observed
23,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxNegative,2020-09-30,2023-05-16,Amplitude,Full,npequinor-dev:dataset--File.Generic:73da664b-1ff0-4d42-b388-68faa9ad1d10,observed
24,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,Timestrain,Padded,npequinor-dev:dataset--File.Generic:443c0a4d-7bb1-4832-98a0-d8fee95deb6b,observed
25,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,RMS,2020-09-30,2023-09-20,Timestrain,Masked,npequinor-dev:dataset--File.Generic:4769a038-8cdf-4103-b0db-f07e9c621a89,observed
26,3D_TAasgard_JS_Z22_Merge_EQ20231_PH2DG3,MaxPositive,2020-09-30,2023-09-20,Amplitude,Masked,npequinor-dev:dataset--File.Generic:899014d4-cb98-4c40-93ae-84b3fc83b4c7,observed
